Interval start,All Packets,TCP Errors
0,174,0
1,163,0
2,171,0
3,165,0
4,169,0
5,174,0
6,177,0
7,180,0
8,148,0
9,149,0
10,150,0
11,160,0
12,176,0
13,168,0
14,168,0
15,162,0
16,156,0
17,157,0
18,156,0
19,160,0
20,164,0
21,161,0
22,166,0
23,173,0
24,155,0
25,157,0
26,170,0
27,163,0
28,166,0
29,156,0
30,140,0
31,168,0
32,157,0
33,153,0
34,150,0
35,148,0
36,150,0
37,149,0
38,147,0
39,144,0
40,160,0
41,154,0
42,144,0
43,160,0
44,154,0
45,125,0
46,151,0
47,152,0
48,150,0
49,148,0
50,136,0
51,56,0
52,12,0
53,20,0
54,30,0
55,148,0
56,152,0
57,130,0
58,143,0
59,138,0
60,143,0
61,142,0
62,133,0
63,152,0
64,136,0
65,139,0
66,147,0
67,144,0
68,141,0
69,136,0
70,137,0
71,145,0
72,148,0
73,144,0
74,143,0
75,143,0
76,131,0
77,128,0
78,133,0
79,134,0
80,136,0
81,144,0
82,136,0
83,131,0
84,143,0
85,140,0
86,127,0
87,143,0
88,138,0
89,123,0
90,147,0
91,131,0
92,135,0
93,134,0
94,131,0
95,127,0
96,138,0
97,118,0
98,129,0
99,145,0
100,145,0
101,123,0
102,127,0
103,124,0
104,111,0
105,128,0
106,129,0
107,128,0
108,117,0
109,124,0
110,112,0
111,40,0
112,20,0
113,16,0
114,2,0
116,6,0
117,110,0
118,116,0
119,120,0
120,134,0
121,123,0
122,135,0
123,128,0
124,127,0
125,117,0
126,126,0
127,114,0
128,120,0
129,134,0
130,122,0
131,118,0
132,122,0
133,120,0
134,122,0
135,119,0
136,108,0
137,125,0
138,128,0
139,128,0
140,130,0
141,113,0
142,119,0
143,114,0
144,129,0
145,103,0
146,114,0
147,120,0
148,120,0
149,132,0
150,125,0
151,103,0
152,119,0
153,117,0
154,111,0
155,116,0
156,119,0
157,110,0
158,116,0
159,114,0
160,116,0
161,110,0
162,117,0
163,131,0
164,124,0
165,120,0
166,113,0
167,123,0
