Interval start,All Packets,TCP Errors
0,77,0
1,78,0
2,82,0
3,80,0
4,78,0
5,82,0
6,84,0
7,80,0
8,80,0
9,80,0
10,78,0
11,78,0
12,79,0
13,83,0
14,84,0
15,83,0
16,81,0
17,84,0
18,80,0
19,78,0
20,80,0
21,82,0
22,82,0
23,78,0
24,77,0
25,79,0
26,79,0
27,77,0
28,75,0
29,77,0
30,76,0
31,75,0
32,81,0
33,80,0
34,78,0
35,78,0
36,74,0
37,78,0
38,62,0
39,24,0
40,14,0
41,16,0
42,34,0
43,70,0
44,76,0
45,74,0
46,76,0
47,75,0
48,69,0
49,76,0
50,80,0
51,76,0
52,79,0
53,73,0
54,60,0
55,78,0
56,74,0
57,72,0
58,70,0
59,72,0
60,70,0
61,70,0
62,76,0
63,73,0
64,75,0
65,78,0
66,72,0
67,71,0
68,73,0
69,74,0
70,72,0
71,74,0
72,76,0
73,74,0
74,68,0
75,68,0
76,74,0
77,74,0
78,74,0
79,77,0
80,71,0
81,74,0
82,70,0
83,72,0
84,70,0
85,70,0
86,68,0
87,68,0
88,68,0
89,74,0
90,70,0
91,70,0
92,72,0
93,70,0
94,68,0
95,66,0
96,70,0
97,65,0
98,55,0
99,6,0
101,5,0
104,31,0
105,68,0
106,73,0
107,75,0
108,74,0
109,70,0
110,71,0
111,70,0
112,67,0
113,66,0
114,68,0
115,68,0
116,67,0
117,71,0
118,74,0
119,74,0
120,72,0
121,70,0
122,74,0
123,72,0
124,72,0
125,70,0
126,52,0
127,66,0
128,75,0
129,73,0
130,72,0
131,70,0
132,72,0
133,70,0
134,70,0
135,70,0
136,68,0
137,66,0
138,67,0
139,69,0
140,70,0
141,69,0
142,69,0
143,72,0
144,70,0
145,62,0
146,68,0
147,66,0
148,64,0
149,66,0
150,64,0
151,64,0
152,69,0
153,71,0
154,68,0
155,66,0
156,74,0
157,68,0
158,52,0
159,20,0
160,16,0
161,14,0
162,28,0
163,66,0
164,68,0
165,64,0
166,66,0
167,68,0
168,66,0
169,64,0
170,65,0
171,65,0
172,64,0
173,70,0
174,67,0
175,63,0
176,68,0
177,62,0
178,66,0
179,68,0
180,66,0
181,64,0
182,64,0
183,65,0
184,61,0
185,64,0
186,64,0
187,64,0
188,64,0
189,64,0
190,62,0
191,62,0
192,64,0
193,66,0
194,64,0
195,64,0
196,68,0
197,68,0
198,68,0
199,64,0
200,50,0
201,58,0
202,66,0
203,63,0
204,63,0
205,64,0
206,64,0
207,66,0
208,64,0
209,66,0
210,64,0
211,62,0
212,66,0
213,64,0
214,62,0
215,64,0
216,62,0
217,62,0
218,48,0
219,16,0
220,12,0
221,14,0
222,26,0
223,61,0
224,63,0
225,62,0
226,62,0
227,64,0
228,64,0
229,64,0
230,66,0
231,68,0
232,44,0
233,63,0
234,66,0
235,65,0
236,64,0
237,62,0
238,62,0
239,62,0
240,64,0
241,62,0
242,64,0
243,64,0
244,62,0
245,66,0
246,64,0
247,60,0
248,65,0
249,63,0
250,62,0
251,61,0
252,63,0
253,64,0
254,64,0
255,63,0
256,63,0
257,62,0
258,64,0
259,61,0
260,61,0
261,64,0
262,58,0
263,60,0
264,62,0
265,60,0
266,62,0
267,60,0
268,58,0
269,64,0
270,64,0
271,58,0
272,56,0
273,60,0
274,62,0
275,60,0
276,60,0
277,58,0
278,48,0
279,12,0
282,13,0
283,42,0
284,40,0
285,64,0
286,58,0
287,60,0
288,60,0
289,60,0
290,61,0
291,59,0
292,62,0
293,60,0
294,62,0
295,62,0
296,62,0
297,60,0
298,56,0
299,58,0
300,60,0
301,58,0
302,60,0
303,58,0
304,58,0
305,56,0
306,60,0
307,62,0
308,62,0
309,60,0
310,62,0
311,60,0
312,62,0
313,58,0
314,52,0
315,60,0
316,58,0
317,60,0
318,64,0
319,56,0
320,58,0
321,58,0
322,58,0
323,60,0
324,60,0
325,60,0
326,60,0
327,59,0
