Interval start,All packets
0,24
1,46
2,67
3,77
4,78
5,81
6,77
7,72
8,79
9,79
10,79
11,82
12,80
13,79
14,73
15,70
16,68
17,69
18,65
19,68
20,66
21,70
22,70
23,73
24,70
25,72
26,69
27,75
28,73
29,69
30,65
31,120
32,68
33,79
34,67
35,70
36,74
37,72
38,69
39,66
40,69
41,68
42,73
43,70
44,67
45,64
46,68
47,70
48,69
49,73
50,68
51,68
52,70
53,70
54,70
55,70
56,68
57,48
58,19
59,17
60,11
61,47
62,68
63,66
64,70
65,68
66,68
67,67
68,65
69,70
70,70
71,70
72,70
73,70
74,68
75,67
76,70
77,70
78,71
79,68
80,69
81,67
82,70
83,68
84,65
85,65
86,64
87,64
88,64
89,60
90,68
91,64
92,62
93,64
94,64
95,62
96,68
97,68
98,64
99,64
100,64
101,66
102,67
103,64
104,63
105,60
106,64
107,69
108,69
109,68
110,65
111,65
112,66
113,62
114,65
115,63
116,64
117,46
118,25
119,11
120,17
121,37
122,62
123,62
124,64
125,66
126,68
127,62
128,64
129,64
130,68
131,62
132,66
133,63
134,63
135,50
136,66
137,64
138,64
139,64
140,62
141,58
142,60
143,61
144,65
145,59
146,57
147,62
148,66
149,63
150,61
151,66
152,64
153,60
154,64
155,60
156,59
157,61
158,62
159,64
160,62
161,64
162,59
163,61
164,56
165,62
166,59
167,61
168,62
169,62
170,57
171,61
172,62
173,62
174,59
175,60
176,58
177,40
178,19
179,13
180,12
181,33
182,58
183,62
184,60
185,58
186,58
187,56
188,54
189,58
190,56
191,59
192,61
193,64
194,60
195,60
196,54
197,54
198,58
199,58
200,58
201,58
202,57
203,55
204,60
205,60
206,58
207,60
208,60
209,56
210,60
211,64
212,58
213,58
214,56
215,58
216,60
217,30
218,58
219,58
220,56
221,58
222,58
223,64
224,58
225,60
226,56
227,56
228,56
229,58
230,58
231,60
232,56
233,54
234,58
235,60
236,57
237,39
238,17
239,10
240,14
241,33
242,56
243,58
244,58
245,55
246,58
247,60
248,59
249,60
250,57
251,57
252,58
253,57
254,55
255,60
256,58
257,56
258,58
259,56
260,50
261,58
262,59
263,57
264,58
265,54
266,56
267,60
268,57
269,57
270,58
271,56
272,54
273,54
274,58
275,57
276,57
277,56
278,54
279,56
280,54
281,55
282,58
283,57
284,58
285,56
286,54
287,54
288,53
289,55
290,54
291,54
292,56
293,54
294,52
295,54
296,55
297,34
298,13
299,11
300,10
301,33
302,54
303,54
304,56
305,54
306,52
307,23
308,51
309,50
310,50
311,54
312,54
313,54
314,52
315,50
316,52
317,50
318,50
319,54
320,50
321,50
322,56
323,53
324,53
325,50
326,50
327,52
328,56
329,54
330,54
331,52
332,50
333,50
334,50
335,54
336,52
337,54
338,56
339,54
340,55
341,53
342,52
343,50
344,49
345,51
346,50
347,50
348,54
349,52
350,51
351,55
352,52
353,52
354,50
355,53
356,53
357,35
358,17
359,11
360,10
361,31
362,54
363,56
364,54
365,54
366,52
367,53
368,50
369,51
370,52
371,49
372,51
373,52
374,52
375,56
376,66
377,50
378,53
379,52
380,49
381,54
382,50
383,52
384,50
385,52
386,52
387,54
388,54
389,50
390,54
391,54
392,52
393,53
394,55
395,54
396,50
397,52
398,51
399,50
400,49
401,20
402,48
403,50
404,48
405,54
406,54
407,52
408,52
409,54
410,46
411,48
412,50
413,48
414,50
415,51
416,51
417,34
418,14
419,11
420,10
421,23
422,50
423,52
424,52
425,52
426,52
427,52
428,48
429,50
430,49
431,51
432,51
433,51
434,50
435,52
436,52
437,50
438,50
439,48
440,50
441,52
442,50
443,51
444,51
445,47
446,49
447,50
448,50
449,50
450,50
451,50
452,48
453,52
454,54
455,50
456,50
457,50
458,48
459,48
460,48
461,46
462,48
463,49
464,51
465,50
466,50
467,46
468,46
469,50
470,48
471,48
472,48
473,46
474,50
475,46
476,48
477,32
478,17
479,10
480,10
481,29
482,46
483,52
484,48
485,50
486,49
487,47
488,50
489,48
490,48
491,44
492,48
493,48
494,44
495,46
496,50
497,48
498,48
499,50
500,45
501,49
502,46
503,46
504,48
505,48
506,48
507,48
508,50
509,46
510,50
511,48
512,46
513,48
514,50
515,46
516,48
517,46
518,51
519,49
520,50
521,46
522,48
523,48
524,30
525,34
526,34
527,32
528,38
529,36
530,30
531,34
532,30
533,12
534,36
535,38
536,38
537,34
538,16
539,11
540,10
541,31
542,54
543,54
544,52
545,54
546,52
547,52
548,52
549,52
550,54
551,54
552,54
553,52
554,53
555,53
556,52
557,50
558,52
559,51
560,52
561,54
562,51
563,53
564,55
565,56
566,51
567,55
568,56
569,52
570,54
571,54
572,52
573,52
574,54
575,51
576,50
577,55
578,48
579,52
580,56
581,54
582,56
583,56
584,50
585,48
586,52
587,54
588,53
589,54
590,52
591,55
592,54
593,53
594,53
595,52
596,50
597,33
598,20
599,10
600,8
601,32
602,53
603,52
604,56
605,54
606,52
607,53
608,51
609,52
610,50
611,49
612,51
613,52
614,50
615,52
616,52
617,50
618,52
619,54
620,52
621,50
622,52
623,50
624,54
625,54
626,50
627,50
628,52
629,53
630,50
631,55
632,50
633,50
634,54
635,50
636,50
637,50
638,50
639,14
640,44
641,50
642,51
643,49
644,52
645,51
646,47
647,47
648,49
649,48
650,48
651,52
652,50
653,50
654,52
655,50
656,50
657,33
658,15
659,11
660,12
661,29
662,46
663,46
664,46
665,46
666,48
667,49
668,51
669,50
670,50
671,49
672,49
673,50
674,48
675,51
676,49
677,46
678,48
679,48
680,44
681,49
682,49
683,50
684,50
685,50
686,48
687,50
688,49
689,49
690,50
691,47
692,49
693,53
694,51
695,46
696,52
697,46
698,48
699,48
700,48
701,46
702,48
703,48
704,48
705,46
706,46
707,46
708,48
709,48
710,44
711,48
712,48
713,48
714,46
715,48
716,44
717,28
718,15
719,10
720,8
721,24
722,46
723,49
724,46
725,45
726,49
727,48
728,48
729,44
730,48
731,46
732,46
733,46
734,46
735,48
736,48
737,48
738,48
739,48
740,46
741,50
742,46
743,46
744,48
745,46
746,45
747,49
748,48
749,48
750,46
751,46
752,46
753,46
754,44
755,46
756,47
757,47
758,42
759,46
760,43
761,43
762,40
763,13
764,43
765,45
766,45
767,48
768,48
769,46
770,44
771,42
772,44
773,42
774,44
775,46
776,44
777,30
778,14
779,9
780,14
781,27
782,44
783,46
784,48
785,44
786,46
787,46
788,48
789,46
790,44
791,42
792,46
793,48
794,46
795,45
796,45
797,45
798,45
799,47
800,43
801,43
802,43
803,42
804,44
805,46
806,46
807,46
808,46
809,44
810,46
811,48
812,44
813,44
814,46
815,44
816,44
817,46
818,44
819,42
820,44
821,43
822,45
823,44
824,42
825,44
826,44
827,44
828,46
829,44
830,44
831,46
832,46
833,44
834,42
835,46
836,44
837,28
838,15
839,12
840,10
841,23
842,46
843,44
844,46
845,48
846,44
847,46
848,46
849,47
850,45
851,44
852,44
853,43
854,41
855,42
856,44
857,44
858,44
859,44
860,36
861,44
862,46
863,42
864,42
865,44
866,40
867,44
868,42
869,44
870,44
871,44
872,32
873,30
874,36
875,34
876,36
877,32
878,28
879,32
880,30
881,32
882,36
883,30
884,36
885,36
886,35
887,33
888,35
889,44
890,53
891,55
892,56
893,49
894,51
895,53
896,54
897,37
898,14
899,10
900,10
901,28
902,53
903,54
904,53
905,55
906,54
907,56
908,50
909,52
910,50
911,48
912,50
913,50
914,50
915,50
916,51
917,53
918,50
919,50
920,50
921,54
922,52
923,52
924,52
925,48
926,52
927,52
928,52
929,50
930,52
931,52
932,53
933,41
934,4
935,52
936,52
937,52
938,48
939,50
940,50
941,51
942,51
943,52
944,48
945,50
946,49
947,46
948,53
949,54
950,46
951,49
952,50
953,49
954,51
955,49
956,50
957,37
958,20
959,14
960,10
961,33
962,50
963,50
964,52
965,50
966,50
967,48
968,49
