Interval start,All packets
0,113
1,52
2,24
3,23
4,86
5,184
6,172
7,179
8,176
9,173
10,178
11,172
12,161
13,158
14,157
15,148
16,164
17,167
18,170
19,156
20,152
21,156
22,156
23,138
24,163
25,166
26,155
27,166
28,170
29,151
30,168
31,159
32,156
33,151
34,154
35,151
36,150
37,157
38,163
39,158
40,161
41,162
42,160
43,160
44,163
45,161
46,156
47,148
48,150
49,146
50,170
51,152
52,147
53,146
54,148
55,146
56,149
57,147
58,145
59,152
60,107
61,38
62,18
63,2
65,1
66,114
67,156
68,149
69,145
70,144
71,137
72,140
73,144
74,131
75,150
76,135
77,49
78,61
79,60
80,65
81,89
82,158
83,144
84,131
85,135
86,132
87,137
88,137
89,134
90,123
91,134
92,130
93,111
94,143
95,140
96,135
97,130
98,134
99,132
100,118
101,130
102,133
103,125
104,129
105,139
106,121
107,123
108,132
109,139
110,134
111,104
112,127
113,123
114,139
115,137
116,125
117,123
118,128
119,123
120,88
121,33
122,18
123,18
124,65
125,134
126,127
127,114
128,125
129,117
130,92
131,116
132,116
133,120
134,102
135,117
136,133
137,108
138,123
139,124
140,121
141,114
142,121
143,120
144,119
145,132
146,132
147,122
148,125
149,127
150,129
151,118
152,121
153,120
154,119
155,124
156,118
157,132
158,123
159,113
160,114
161,121
162,111
163,115
164,115
165,110
166,122
167,122
168,129
169,119
170,124
171,121
172,115
173,108
174,125
175,124
176,114
177,121
178,130
179,124
180,83
181,26
182,20
183,20
184,59
185,118
186,121
187,115
188,120
189,127
190,106
191,107
192,112
193,104
194,117
195,114
196,113
197,106
198,113
199,110
200,106
201,118
202,111
203,113
204,106
205,125
206,122
207,113
208,123
209,99
210,118
211,115
212,108
213,104
214,112
215,106
216,107
217,103
218,105
219,105
220,114
221,100
222,60
223,110
224,102
225,104
226,110
227,111
228,113
229,115
230,113
231,114
232,117
233,109
234,104
235,98
236,104
237,102
238,93
239,106
240,78
241,34
242,16
243,16
244,49
245,110
246,92
247,100
248,100
249,100
250,102
251,95
252,101
253,100
254,99
255,101
256,99
257,103
258,103
259,99
260,98
261,105
262,108
263,91
264,109
265,107
266,106
267,110
268,98
269,95
270,101
271,104
272,103
273,97
274,106
275,108
276,97
277,91
278,104
279,102
280,106
281,102
282,86
283,95
284,106
285,97
286,97
287,95
288,101
289,103
290,87
291,104
292,105
293,102
294,98
295,96
296,96
297,92
298,92
299,94
300,79
301,26
302,14
303,10
306,56
307,94
308,96
309,102
310,99
311,100
312,99
313,103
314,104
315,101
316,102
317,103
318,103
319,96
320,97
321,82
322,91
323,85
324,74
325,89
326,88
327,98
328,85
329,95
330,96
331,97
332,85
333,96
334,101
335,97
336,90
337,100
338,97
339,93
340,102
341,83
342,89
343,97
344,93
345,90
346,95
347,97
348,90
349,90
350,80
351,71
352,76
353,94
354,89
355,49
356,79
357,84
358,79
359,94
360,65
361,19
362,16
363,14
364,42
365,91
366,93
367,93
368,91
369,89
370,88
371,89
372,88
373,87
374,94
375,90
376,84
377,88
378,83
379,86
380,90
381,79
382,91
383,81
384,86
385,97
386,93
387,86
388,89
389,87
390,90
391,89
392,91
393,84
394,90
395,98
396,94
397,90
398,80
399,85
400,89
401,89
402,91
403,87
404,89
405,92
406,88
407,81
408,87
409,78
410,86
411,84
412,78
413,80
414,90
415,90
416,81
417,83
418,85
419,86
420,54
421,22
422,16
423,16
424,41
425,80
426,89
427,86
428,89
429,87
430,81
431,81
432,84
433,80
434,79
435,83
436,83
437,75
438,67
439,79
440,83
441,90
442,82
443,76
444,84
445,83
446,77
447,77
448,81
449,83
450,84
451,79
452,78
453,71
454,87
455,84
456,87
457,84
458,84
459,85
460,77
461,81
462,74
463,81
464,76
465,81
466,82
467,76
468,82
469,79
470,81
471,78
472,84
473,82
474,79
475,77
476,81
477,84
478,81
479,72
480,59
481,22
482,12
483,14
484,43
485,78
486,86
487,80
488,76
489,72
490,84
491,80
492,80
493,80
494,78
495,76
496,81
497,78
498,79
499,76
500,76
501,81
502,75
503,77
504,79
505,75
506,83
507,77
508,81
509,81
510,76
511,77
512,76
513,25
514,73
515,82
516,70
517,78
518,81
519,69
520,80
521,72
522,80
523,79
524,79
525,77
526,82
527,75
528,66
529,74
530,78
531,78
532,78
533,78
534,78
535,72
536,81
537,72
538,78
539,75
540,49
541,18
542,16
543,12
544,37
545,76
546,78
547,76
548,82
549,72
550,74
551,76
552,78
553,76
554,79
555,75
556,75
557,80
558,69
559,76
560,80
561,75
562,76
563,80
564,73
565,76
566,76
567,76
568,78
569,78
570,74
571,78
572,82
573,76
574,51
576,5
577,76
578,73
579,75
580,80
581,71
582,80
583,68
584,79
585,78
586,81
587,73
588,80
589,71
590,78
591,78
592,80
593,80
594,77
595,81
596,80
597,80
598,74
599,81
600,49
601,13
602,12
603,15
604,38
605,80
606,82
607,76
608,77
609,83
610,78
611,79
612,79
613,77
614,31
