"Interval start","All packets"
0,77
1,79
2,81
3,81
4,77
5,83
6,84
7,79
8,81
9,79
10,78
11,80
12,78
13,82
14,84
15,84
16,80
17,84
18,80
19,79
20,79
21,82
22,82
23,78
24,77
25,79
26,79
27,77
28,75
29,77
30,76
31,76
32,80
33,80
34,78
35,79
36,73
37,78
38,63
39,24
40,12
41,18
42,33
43,70
44,76
45,74
46,77
47,74
48,69
49,76
50,80
51,76
52,80
53,72
54,61
55,78
56,73
57,72
58,70
59,72
60,71
61,69
62,76
63,74
64,74
65,78
66,72
67,72
68,73
69,73
70,72
71,74
72,77
73,73
74,68
75,69
76,73
77,74
78,75
79,77
80,70
81,74
82,71
83,72
84,70
85,69
86,68
87,69
88,67
89,74
90,70
91,70
92,72
93,70
94,68
95,66
96,70
97,66
98,55
99,4
100,0
101,4
102,0
103,0
104,31
105,68
106,74
107,74
108,74
109,70
110,72
111,70
112,66
113,66
114,68
115,68
116,68
117,71
118,73
119,75
120,71
121,71
122,74
123,71
124,72
125,70
126,53
127,66
128,75
129,72
130,72
131,71
132,71
133,71
134,70
135,69
136,68
137,66
138,68
139,68
140,70
141,70
142,68
143,72
144,70
145,63
146,67
147,66
148,64
149,66
150,64
151,64
152,70
153,70
154,68
155,67
156,73
157,68
158,53
159,20
160,16
161,14
162,27
163,66
164,68
165,64
166,66
167,68
168,66
169,64
170,66
171,64
172,65
173,69
174,68
175,63
176,67
177,63
178,65
179,68
180,66
181,64
182,64
183,66
184,60
185,64
186,64
187,64
188,64
189,64
190,62
191,62
192,64
193,66
194,64
195,66
196,66
197,68
198,69
199,63
200,50
201,59
202,65
203,64
204,63
205,64
206,63
207,66
208,65
209,65
210,64
211,62
212,66
213,64
214,62
215,64
216,62
217,63
218,48
219,16
220,10
221,14
222,27
223,62
224,62
225,62
226,62
227,65
228,64
229,63
230,66
231,68
232,45
233,63
234,66
235,64
236,64
237,62
238,62
239,63
240,63
241,63
242,63
243,64
244,63
245,66
246,63
247,60
248,66
249,62
250,62
251,62
252,62
253,64
254,65
255,63
256,62
257,63
258,63
259,62
260,60
261,64
262,58
263,60
264,62
265,61
266,62
267,59
268,60
269,62
270,64
271,58
272,57
273,59
274,62
275,61
276,59
277,58
278,47
279,12
280,0
281,0
282,13
283,42
284,40
285,64
286,58
287,60
288,60
289,60
290,62
291,59
292,62
293,59
294,62
295,62
296,62
297,60
298,56
299,59
300,61
301,56
302,60
303,59
304,57
305,57
306,59
307,62
308,62
309,60
310,62
311,60
312,62
313,58
314,52
315,60
316,59
317,60
318,63
319,56
320,58
321,58
322,58
323,60
324,60
325,60
326,60
327,60
328,60
329,58
330,60
331,57
332,57
333,59
334,57
335,56
336,58
337,59
338,44
339,13
340,11
341,10
342,25
343,58
344,58
345,58
346,58
347,58
348,56
349,58
350,56
351,58
352,56
353,54
354,57
355,55
356,56
357,58
358,53
359,53
360,58
361,56
362,57
363,57
364,58
365,60
366,58
367,60
368,22
369,56
370,58
371,58
372,60
373,58
374,58
375,60
376,58
377,56
378,56
379,58
380,56
381,58
382,54
383,54
384,56
385,56
386,56
387,56
388,54
389,60
390,58
391,57
392,57
393,58
394,54
395,55
396,56
397,66
398,16
399,12
400,14
401,10
402,18
403,58
404,59
405,60
406,56
407,58
408,62
409,54
410,59
411,59
412,59
413,59
414,58
415,52
416,56
417,58
418,55
419,57
420,54
421,55
422,55
423,56
424,57
425,55
426,60
427,58
428,56
429,58
430,54
431,55
432,57
433,60
434,56
435,56
436,58
437,54
438,56
439,52
440,54
441,54
442,52
443,54
444,54
445,52
446,54
447,52
448,56
449,54
450,54
451,56
452,58
453,56
454,56
455,58
456,58
457,54
458,43
459,18
460,12
461,10
462,27
463,54
464,52
465,52
466,50
467,52
468,52
469,51
470,55
471,53
472,53
473,47
474,51
475,54
476,54
477,54
478,53
479,55
480,54
481,54
482,55
483,11
484,56
485,54
486,52
487,52
488,54
489,50
490,50
491,50
492,52
493,52
494,52
495,52
496,52
497,53
498,53
499,56
500,56
501,56
502,54
503,54
504,52
505,50
506,52
507,50
508,52
509,50
510,54
511,54
512,54
513,54
514,52
515,53
516,53
517,50
518,41
519,16
520,10
521,10
522,23
523,50
524,52
525,54
526,56
527,52
528,55
529,51
530,54
531,52
532,50
533,54
534,54
535,48
536,52
537,52
538,52
539,50
540,52
541,52
542,52
543,50
544,50
545,52
546,51
547,53
548,54
549,50
550,50
551,52
552,50
553,50
554,52
555,50
556,50
557,52
558,50
559,50
560,52
561,50
562,52
563,54
564,52
565,49
566,53
567,50
568,50
569,50
570,50
571,49
572,53
573,54
574,54
575,51
576,51
577,52
578,39
579,20
580,8
581,10
582,19
583,50
584,50
585,50
586,51
587,49
588,50
589,50
590,51
591,51
592,50
593,43
594,51
595,48
596,51
597,47
598,48
599,50
600,52
601,48
602,52
603,50
604,48
605,50
606,50
607,48
608,50
609,48
610,50
611,50
612,44
613,50
614,48
615,50
616,50
617,51
618,51
619,46
620,50
621,48
622,50
623,50
624,50
625,48
626,49
627,47
628,49
629,51
630,46
631,46
632,49
633,47
634,46
635,46
636,48
637,47
638,40
639,16
640,12
641,10
642,21
643,48
644,28
645,20
646,42
647,50
648,50
649,44
650,34
651,38
652,32
653,36
654,36
655,37
656,37
657,36
658,36
659,40
660,36
661,36
662,42
663,42
664,44
665,38
666,58
667,60
668,60
669,62
670,60
671,62
672,60
673,56
674,60
675,59
676,59
677,60
678,58
679,59
680,60
681,59
682,58
683,60
684,59
685,57
686,60
687,56
688,58
689,58
690,56
691,56
692,59
693,58
694,55
695,55
696,57
697,54
698,49
699,18
700,12
701,10
702,24
703,53
704,60
705,56
706,54
707,56
708,56
709,56
710,58
711,56
712,54
713,58
714,52
715,56
716,57
717,57
718,53
719,53
720,58
721,54
722,58
723,56
724,56
725,58
726,55
727,57
728,54
729,56
730,55
731,57
732,56
733,55
734,55
735,55
736,55
737,56
738,58
739,56
740,58
741,57
742,55
743,56
744,52
745,53
746,57
747,56
748,55
749,53
750,60
751,54
752,56
753,48
754,52
755,58
756,54
757,54
758,45
759,16
760,10
761,14
762,23
763,57
764,57
765,58
766,60
767,58
768,60
769,54
770,56
771,58
772,56
773,54
774,54
775,52
776,56
777,54
778,52
779,54
780,52
781,54
782,54
783,52
784,51
785,54
786,55
787,54
788,54
789,57
790,56
791,57
792,56
793,52
794,54
795,54
796,50
797,52
798,51
799,53
800,54
801,54
802,54
803,56
804,53
805,55
806,56
807,54
808,51
809,54
810,53
811,50
812,52
813,54
814,52
815,53
816,51
817,54
818,45
819,10
820,10
821,12
822,23
823,50
824,53
825,50
826,47
827,48
828,52
829,50
830,22
831,12
832,46
833,50
834,54
835,49
836,51
837,52
838,50
839,52
840,52
841,52
842,54
843,54
844,52
845,53
846,51
847,50
848,50
849,52
850,54
851,54
852,52
853,54
854,54
855,51
856,53
857,52
858,51
859,50
860,51
861,52
862,50
863,54
864,52
865,50
866,52
867,54
868,50
869,51
870,51
871,48
872,48
873,50
874,48
875,52
876,53
877,51
878,41
879,10
880,10
881,10
882,24
883,51
884,54
885,50
886,48
887,48
888,48
889,48
890,48
891,50
892,50
893,50
894,50
895,48
896,50
897,48
898,49
899,49
900,50
901,48
902,52
903,48
904,48
905,50
906,48
907,50
908,52
909,50
910,48
911,50
912,50
913,50
914,53
915,49
916,52
917,52
918,50
919,50
920,48
921,50
922,48
923,52
924,50
925,49
926,51
927,50
928,52
929,50
930,52
931,52
932,54
933,50
934,49
935,49
936,50
937,47
938,38
939,16
940,2
941,0
942,6
943,50
944,49
945,50
946,46
947,51
948,49
949,47
950,43
951,50
952,49
953,49
954,46
955,48
956,50
957,46
958,48
959,50
960,46
961,48
962,50
963,48
964,48
965,50
966,48
967,50
968,48
969,48
970,48
971,48
972,48
973,50
974,51
975,25
976,29
977,49
978,47
979,49
980,48
981,48
982,49
983,51
984,49
985,47
986,46
987,50
988,48
989,50
990,48
991,50
992,50
993,48
994,49
995,50
996,51
997,46
998,37
999,8
1000,10
1001,8
1002,13
1003,34
1004,35
1005,37
1006,34
1007,36
1008,34
1009,40
1010,40
1011,48
1012,57
1013,61
1014,62
1015,58
1016,58
1017,60
1018,58
1019,55
1020,55
1021,53
1022,52
1023,57
1024,52
1025,55
1026,55
1027,56
1028,56
1029,54
1030,56
1031,52
1032,53
1033,60
1034,59
1035,56
1036,56
1037,58
1038,58
1039,53
1040,55
1041,54
1042,56
1043,58
1044,56
1045,59
1046,57
1047,54
1048,52
1049,57
1050,57
1051,58
1052,58
1053,56
1054,58
1055,54
1056,57
1057,59
1058,47
1059,14
1060,12
1061,10
1062,21
1063,56
1064,56
1065,55
1066,55
1067,54
1068,55
1069,54
1070,57
1071,56
1072,52
1073,54
1074,54
1075,56
1076,56
1077,55
1078,57
1079,55
1080,57
1081,56
1082,56
1083,55
1084,56
1085,55
1086,56
1087,57
1088,55
1089,52
1090,56
1091,56
1092,49

