"Interval start","All Packets","TCP Errors"
0,126,0
1,42,0
2,22,0
3,24,0
4,126,0
5,180,0
6,170,0
7,176,0
8,176,0
9,177,0
10,179,0
11,166,0
12,157,0
13,166,0
14,146,0
15,151,0
16,172,0
17,166,0
18,164,0
19,156,0
20,154,0
21,156,0
22,141,0
23,155,0
24,164,0
25,156,0
26,166,0
27,166,0
28,168,0
29,153,0
30,161,0
31,154,0
32,152,0
33,156,0
34,156,0
35,152,0
36,151,0
37,164,0
38,163,0
39,158,0
40,160,0
41,156,0
42,163,0
43,161,0
44,164,0
45,160,0
46,147,0
47,151,0
48,150,0
49,156,0
50,164,0
51,150,0
52,145,0
53,146,0
54,147,0
55,142,0
56,159,0
57,149,0
58,146,0
59,152,0
60,82,0
61,30,0
62,18,0
63,2,0
64,0,0
65,6,0
66,139,0
67,153,0
68,144,0
69,146,0
70,142,0
71,140,0
72,140,0
73,140,0
74,138,0
75,155,0
76,107,0
77,58,0
78,62,0
79,61,0
80,67,0
81,106,0
82,160,0
83,138,0
84,131,0
85,137,0
86,132,0
87,134,0
88,139,0
89,131,0
90,116,0
91,142,0
92,119,0
93,123,0
94,142,0
95,131,0
96,135,0
97,138,0
98,132,0
99,122,0
100,132,0
101,128,0
102,133,0
103,125,0
104,129,0
105,139,0
106,124,0
107,122,0
108,132,0
109,138,0
110,130,0
111,104,0
112,127,0
113,124,0
114,141,0
115,138,0
116,124,0
117,123,0
118,129,0
119,122,0
120,68,0
121,26,0
122,20,0
123,16,0
124,93,0
125,132,0
126,123,0
127,119,0
128,123,0
129,115,0
130,90,0
131,121,0
132,116,0
133,110,0
134,112,0
135,120,0
136,132,0
137,108,0
138,123,0
139,117,0
140,122,0
141,116,0
142,114,0
143,130,0
144,118,0
145,133,0
146,127,0
147,127,0
148,125,0
149,127,0
150,127,0
151,118,0
152,116,0
153,119,0
154,124,0
155,125,0
156,118,0
157,130,0
158,118,0
159,114,0
160,118,0
161,124,0
162,110,0
163,116,0
164,110,0
165,108,0
166,126,0
167,121,0
168,127,0
169,123,0
170,129,0
171,120,0
172,112,0
173,107,0
174,127,0
175,122,0
176,114,0
177,118,0
178,134,0
179,124,0
180,60,0
181,24,0
182,20,0
183,18,0
184,86,0
185,118,0
186,121,0
187,115,0
188,120,0
189,126,0
190,106,0
191,106,0
192,113,0
193,102,0
194,117,0
195,112,0
196,110,0
197,110,0
198,107,0
199,113,0
200,112,0
201,110,0
202,114,0
203,118,0
204,106,0
205,124,0
206,120,0
207,116,0
208,122,0
209,101,0
210,117,0
211,110,0
212,106,0
213,106,0
214,117,0
215,103,0
216,103,0
217,101,0
218,106,0
219,112,0
220,113,0
221,89,0
222,72,0
223,106,0
224,102,0
225,106,0
226,108,0
227,114,0
228,114,0
