"Interval start","All Packets","TCP Errors"
0,21,0
1,38,0
2,68,0
3,76,0
4,78,0
5,80,0
6,82,0
7,74,0
8,74,0
9,80,0
10,78,0
11,82,0
12,80,0
13,78,0
14,76,0
15,70,0
16,66,0
17,70,0
18,68,0
19,66,0
20,66,0
21,71,0
22,69,0
23,72,0
24,70,0
25,72,0
26,68,0
27,74,0
28,76,0
29,68,0
30,66,0
31,62,0
32,62,0
33,76,0
34,70,0
35,68,0
36,74,0
37,72,0
38,70,0
39,66,0
40,70,0
41,68,0
42,72,0
43,70,0
44,68,0
45,66,0
46,66,0
47,69,0
48,69,0
49,72,0
50,68,0
51,68,0
52,70,0
53,70,0
54,72,0
55,70,0
56,69,0
57,51,0
58,22,0
59,17,0
60,11,0
61,38,0
62,68,0
63,68,0
64,68,0
65,68,0
66,70,0
67,66,0
68,66,0
69,68,0
70,72,0
71,70,0
72,70,0
73,70,0
74,68,0
75,66,0
76,70,0
77,70,0
78,72,0
79,68,0
80,68,0
81,68,0
82,70,0
83,67,0
84,65,0
85,66,0
86,64,0
87,62,0
88,64,0
89,62,0
90,66,0
91,64,0
92,64,0
93,64,0
94,64,0
95,64,0
96,68,0
97,66,0
98,66,0
99,62,0
100,62,0
101,66,0
102,68,0
103,64,0
104,64,0
105,60,0
106,63,0
107,69,0
108,70,0
109,68,0
110,66,0
111,64,0
112,66,0
113,62,0
114,64,0
115,64,0
116,62,0
117,52,0
118,28,0
119,10,0
120,18,0
121,32,0
122,60,0
123,62,0
124,64,0
125,66,0
126,66,0
127,64,0
128,64,0
129,64,0
130,67,0
131,63,0
132,66,0
133,64,0
134,62,0
135,52,0
136,62,0
137,66,0
138,64,0
139,63,0
140,63,0
141,58,0
142,60,0
143,60,0
144,66,0
145,60,0
146,58,0
147,62,0
148,64,0
149,62,0
150,62,0
151,64,0
152,66,0
153,60,0
154,64,0
155,60,0
156,59,0
157,61,0
158,63,0
159,65,0
160,62,0
161,62,0
162,60,0
163,60,0
164,56,0
165,62,0
166,58,0
167,62,0
168,62,0
169,64,0
170,55,0
171,63,0
172,61,0
173,61,0
174,60,0
175,59,0
176,59,0
177,44,0
178,20,0
179,14,0
180,12,0
181,28,0
182,58,0
183,60,0
184,62,0
185,58,0
186,56,0
187,58,0
188,56,0
189,54,0
190,57,0
191,57,0
192,62,0
193,64,0
194,60,0
195,60,0
196,56,0
197,54,0
198,58,0
199,58,0
200,58,0
201,56,0
202,58,0
203,54,0
204,60,0
205,60,0
206,58,0
207,60,0
208,60,0
209,56,0
210,62,0
211,61,0
212,59,0
213,60,0
214,56,0
215,56,0
216,60,0
217,30,0
218,58,0
219,58,0
220,58,0
221,56,0
222,60,0
223,64,0
224,58,0
225,60,0
226,56,0
227,54,0
228,58,0
229,56,0
230,60,0
231,58,0
232,58,0
233,53,0
234,57,0
235,62,0
236,56,0
237,43,0
238,19,0
239,11,0
240,13,0
241,28,0
242,54,0
243,58,0
244,58,0
245,56,0
246,58,0
247,60,0
248,58,0
249,62,0
250,56,0
251,56,0
252,58,0
253,58,0
254,54,0
255,60,0
256,58,0
257,56,0
258,58,0
259,56,0
260,50,0
261,60,0
262,58,0
263,58,0
264,56,0
265,56,0
266,54,0
267,60,0
268,58,0
269,56,0
270,58,0
271,56,0
272,56,0
273,52,0
274,59,0
275,57,0
276,58,0
277,54,0
278,54,0
279,56,0
280,56,0
281,54,0
282,58,0
283,57,0
284,57,0
285,56,0
286,56,0
287,54,0
288,54,0
289,54,0
290,52,0
291,55,0
292,55,0
293,55,0
294,51,0
295,56,0
296,54,0
297,39,0
298,13,0
299,12,0
300,10,0
301,28,0
302,54,0
303,54,0
304,56,0
305,54,0
306,52,0
307,28,0
308,46,0
309,50,0
310,50,0
311,54,0
312,54,0
313,54,0
314,52,0
315,50,0
316,52,0
317,48,0
318,52,0
319,54,0
320,50,0
321,50,0
322,54,0
323,54,0
324,54,0
325,50,0
326,50,0
327,52,0
328,54,0
329,55,0
330,55,0
331,51,0
332,49,0
333,52,0
334,48,0
335,55,0
336,53,0
337,54,0
338,56,0
339,54,0
340,54,0
341,53,0
342,51,0
343,51,0
344,49,0
345,52,0
346,48,0
347,52,0
348,52,0
349,56,0
350,48,0
351,56,0
352,54,0
353,50,0
354,50,0
355,52,0
356,52,0
357,40,0
358,18,0
359,12,0
360,10,0
361,24,0
362,54,0
363,58,0
364,54,0
365,54,0
366,52,0
367,52,0
368,50,0
369,51,0
370,53,0
371,48,0
372,52,0
373,52,0
374,52,0
375,54,0
376,66,0
377,54,0
378,50,0
379,53,0
380,47,0
381,54,0
382,52,0
383,50,0
384,52,0
385,52,0
386,52,0
387,52,0
388,56,0
389,50,0
390,54,0
391,54,0
392,50,0
393,54,0
394,54,0
395,54,0
396,52,0
397,51,0
398,51,0
399,51,0
400,49,0
401,18,0
402,50,0
403,50,0
404,48,0
405,52,0
406,54,0
407,52,0
408,54,0
409,54,0
410,46,0
411,48,0
412,50,0
413,46,0
414,52,0
415,52,0
416,50,0
417,38,0
418,14,0
419,12,0
420,8,0
421,20,0
422,48,0
423,54,0
424,52,0
425,52,0
426,52,0
427,50,0
428,52,0
429,48,0
430,48,0
431,50,0
432,52,0
433,52,0
434,50,0
435,52,0
436,52,0
437,50,0
438,50,0
439,48,0
440,50,0
441,52,0
442,50,0
443,50,0
444,52,0
445,46,0
446,50,0
447,50,0
448,48,0
449,52,0
450,50,0
451,50,0
452,48,0
453,54,0
454,52,0
455,48,0
456,52,0
457,50,0
458,48,0
459,48,0
460,48,0
461,46,0
462,48,0
463,48,0
464,52,0
465,50,0
466,52,0
467,44,0
468,46,0
469,48,0
470,48,0
471,50,0
472,48,0
473,46,0
474,50,0
475,48,0
476,46,0
477,36,0
478,18,0
479,10,0
480,8,0
481,26,0
482,46,0
483,51,0
484,47,0
485,50,0
486,50,0
487,48,0
488,50,0
489,48,0
490,48,0
491,46,0
492,46,0
493,48,0
494,46,0
495,44,0
496,48,0
497,50,0
498,48,0
499,50,0
500,46,0
501,48,0
502,46,0
503,46,0
504,48,0
505,48,0
506,48,0
507,47,0
508,49,0
509,48,0
510,48,0
511,50,0
512,47,0
513,47,0
514,50,0
515,48,0
516,47,0
517,47,0
518,48,0
519,50,0
520,48,0
521,48,0
522,48,0
523,50,0
524,30,0
525,34,0
526,32,0
527,34,0
528,38,0
529,36,0
530,30,0
531,32,0
532,36,0
533,6,0
534,37,0
535,37,0
536,38,0
537,38,0
538,16,0
539,12,0
540,8,0
541,28,0
542,54,0
543,54,0
544,52,0
545,51,0
546,55,0
547,52,0
548,50,0
549,54,0
550,54,0
551,54,0
552,54,0
553,52,0
554,52,0
555,54,0
556,52,0
557,49,0
558,53,0
559,50,0
560,52,0
561,54,0
562,52,0
563,52,0
564,56,0
565,56,0
566,50,0
567,56,0
568,56,0
569,52,0
570,53,0
571,53,0
572,52,0
573,54,0
574,52,0
575,52,0
576,50,0
577,55,0
578,50,0
579,51,0
580,56,0
581,52,0
582,58,0
583,54,0
584,50,0
585,50,0
586,52,0
587,53,0
588,53,0
589,54,0
590,54,0
591,54,0
592,54,0
593,52,0
594,52,0
595,52,0
596,50,0
597,38,0
598,22,0
599,10,0
600,8,0
601,26,0
602,54,0
603,54,0
604,54,0
605,52,0
606,54,0
607,52,0
608,52,0
609,50,0
610,52,0
611,48,0
612,52,0
613,52,0
614,50,0
615,52,0
616,51,0
617,51,0
618,52,0
619,52,0
620,52,0
621,50,0
622,52,0
623,52,0
624,52,0
625,54,0
626,52,0
627,50,0
628,52,0
629,52,0
630,50,0
631,54,0
632,51,0
633,50,0
634,53,0
635,52,0
636,50,0
637,50,0
638,50,0
639,12,0
640,46,0
641,52,0
642,50,0
643,48,0
644,51,0
645,51,0
646,48,0
647,46,0
648,50,0
649,48,0
650,48,0
651,52,0
652,50,0
653,50,0
654,52,0
655,48,0
656,52,0
657,36,0
658,18,0
659,10,0
660,12,0
661,24,0
662,46,0
663,46,0
664,46,0
665,46,0
666,49,0
667,49,0
668,48,0
669,50,0
670,50,0
671,50,0
672,50,0
673,48,0
674,50,0
675,50,0
676,50,0
677,46,0
678,50,0
679,48,0
680,42,0
681,50,0
682,46,0
683,50,0
684,51,0
685,50,0
686,49,0
687,50,0
688,50,0
689,48,0
690,50,0
691,48,0
692,48,0
693,52,0
694,50,0
695,48,0
696,50,0
697,48,0
698,48,0
699,48,0
700,48,0
701,46,0
702,46,0
703,50,0
704,48,0
705,46,0
706,46,0
707,45,0
708,49,0
709,48,0
710,44,0
711,48,0
712,48,0
713,48,0
714,46,0
715,49,0
716,43,0
717,32,0
718,16,0
719,10,0
720,8,0
721,18,0
722,47,0
723,49,0
724,46,0
725,46,0
726,48,0
727,48,0
728,48,0
729,44,0
730,48,0
731,46,0
732,46,0
733,46,0
734,46,0
735,48,0
736,48,0
737,48,0
738,48,0
739,48,0
740,46,0
741,50,0
742,46,0
743,46,0
744,48,0
745,46,0
746,44,0
747,50,0
748,48,0
749,48,0
750,46,0
751,48,0
752,44,0
753,46,0
754,46,0
755,46,0
756,46,0
757,46,0
758,46,0
759,41,0
760,43,0
761,45,0
762,43,0
763,10,0
764,42,0
765,46,0
766,46,0
767,46,0
768,48,0
769,46,0
770,44,0
