"Interval start","All Packets"
0,29
1,30
2,22
3,14
4,12
5,11
6,21
7,28
8,18
9,12
10,12
11,0
12,0
13,13
14,32
15,28
16,30
17,30
18,30
19,30
20,30
21,28
22,30
23,30
24,30
25,30
26,32
27,28
28,30
29,30
30,30
31,30
32,30
33,30
34,30
35,28
36,30
37,30
38,30
39,28
40,32
41,30
42,30
43,30
44,30
45,30
46,28
47,30
48,28
49,30
50,28
51,30
52,30
53,30
54,28
55,32
56,30
57,28
58,28
59,30
60,30
61,28
62,30
63,20
64,16
65,12
66,10
67,20
68,20
69,12
70,0
71,0
72,9
73,30
74,32
75,30
76,28
77,30
78,28
79,28
80,30
81,30
82,28
83,30
84,28
85,30
86,28
87,28
88,30
89,28
90,30
91,28
92,28
93,30
94,30
95,30
96,28
97,30
98,28
99,30
100,30
101,30
102,29
103,29
104,30
105,30
106,30
107,28
108,30
109,28
110,30
111,30
112,28
113,30
114,30
115,30
116,30
117,30
118,28
119,30
120,30
121,30
122,28
123,30
124,22
125,14
126,8
127,0
128,0
129,7
130,0
131,1
132,26
133,32
134,34
135,30
136,30
137,26
138,26
139,30
140,30
141,28
142,28
143,30
144,30
145,30
146,30
147,30
148,30
149,28
150,30
151,30
152,30
153,28
154,31
155,29
156,30
157,30
158,28
159,28
160,30
161,28
162,30
163,30
164,29
165,29
166,30
167,30
168,28
169,30
170,28
171,30
172,30
173,30
174,28
175,30
176,28
177,28
178,30
179,30
180,28
181,30
182,30
183,28
184,29
185,21
186,14
187,12
188,2
189,0
190,5
191,0
192,0
193,7
194,30
195,30
196,28
197,30
198,28
199,28
200,30
201,30
202,30
203,28
204,30
205,30
206,30
207,28
208,28
209,28
210,30
211,30
212,28
213,28
214,28
215,24
216,30
217,28
218,28
219,30
220,28
221,30
222,28
223,28
224,30
225,30
226,28
227,28
228,28
229,30
230,28
231,29
232,29
233,30
234,30
235,28
236,29
237,29
238,28
239,28
240,30
241,28
242,30
243,30
244,28
245,30
246,20
247,14
248,8
249,0
250,0
251,7
252,26
253,30
254,32
255,28
256,28
257,30
258,26
259,30
260,28
261,30
262,30
263,28
264,29
265,29
266,30
267,28
268,28
269,28
270,28
271,30
272,28
273,28
274,30
275,28
276,28
277,28
278,26
279,28
280,30
281,28
282,30
283,28
284,28
285,28
286,30
287,28
288,28
289,28
290,30
291,28
292,28
293,30
294,24
295,28
296,30
297,28
298,28
299,30
300,28
301,22
302,14
303,12
304,12
305,16
306,26
307,30
308,19
309,13
310,8
311,8
312,0
313,11
314,30
315,28
316,28
317,28
318,28
319,28
320,28
321,26
322,29
323,29
324,28
325,14
326,0
327,1
328,28
329,26
330,28
331,30
332,28
333,28
334,30
335,28
336,30
337,20
338,0
339,0
340,15
341,30
342,28
343,28
344,30
345,26
346,28
347,28
348,28
349,28
350,28
351,28
352,28
353,28
354,28
355,28
356,28
357,26
358,28
359,28
360,26
361,28
362,22
363,14
364,12
365,12
366,14
367,28
368,20
369,10
370,6
371,0
372,9
373,32
374,30
375,28
376,28
377,28
378,28
379,28
380,26
381,28
382,26
383,0
384,0
385,21
386,28
387,28
388,26
389,28
390,28
391,28
392,28
393,28
394,28
395,28
396,28
397,28
398,28
399,26
400,28
401,30
402,28
403,28
404,28
405,26
406,28
407,28
408,28
409,28
410,26
411,28
412,28
413,28
414,28
415,28
416,28
417,28
418,28
419,26
420,28
421,28
422,28
423,22
424,14
425,10
426,12
427,20
428,20
429,12
430,12
431,12
432,2
433,0
434,3
435,28
436,26
437,30
438,28
439,26
440,28
441,30
442,28
443,28
444,28
445,28
446,28
447,29
448,29
449,26
450,30
451,28
452,28
453,30
454,28
455,28
456,29
457,29
458,28
459,28
460,28
461,28
462,28
463,28
464,28
465,28
466,28
467,26
468,30
469,26
470,19
471,27
472,28
473,26
474,28
475,26
476,30
477,26
478,30
479,26
480,28
481,28
482,28
483,28
484,16
485,14
486,8
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,15
496,28
497,28
498,28
499,28
500,28
501,26
502,28
503,28
504,28
505,30
506,28
507,28
508,28
509,28
510,28
511,29
512,29
513,26
514,30
515,28
516,28
517,14
518,0
519,0
520,27
521,28
522,28
523,28
524,28
525,28
526,28
527,28
528,30
529,26
530,26
531,28
532,28
533,28
534,26
535,28
536,28
537,26
538,28
539,28
540,26
541,28
542,26
543,28
544,26
545,16
546,14
547,12
548,6
549,0
550,5
551,10
552,24
553,32
554,30
555,28
556,28
557,26
558,28
559,28
560,26
561,30
562,28
563,28
564,28
565,28
566,28
567,26
568,28
569,28
570,26
571,28
572,28
573,28
574,28
575,26
576,28
577,28
578,28
579,28
580,26
581,27
582,29
583,26
584,28
585,28
586,28
587,28
588,26
589,28
590,28
591,27
592,27
593,28
594,28
595,26
596,30
597,28
598,28
599,26
600,28
601,26
602,28
603,28
604,28
605,28
