"Interval start","All Packets"
0,2
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,124
1.01,186
1.02,171
1.03,99
1.04,166
1.05,182
1.06,58
1.07,62
1.08,76
1.09,80
1.1,168
1.11,328
1.12,380
1.13,347
1.14,289
1.15,410
1.16,262
1.17,248
1.18,409
1.19,309
1.2,230
1.21,192
1.22,191
1.23,161
1.24,253
1.25,164
1.26,218
1.27,159
1.28,244
1.29,218
1.3,172
1.31,212
1.32,154
1.33,189
1.34,236
1.35,105
1.36,270
1.37,201
1.38,200
1.39,159
1.4,230
1.41,224
1.42,182
1.43,213
1.44,177
1.45,224
1.46,239
1.47,166
1.48,137
1.49,210
1.5,204
1.51,248
1.52,222
1.53,229
1.54,163
1.55,145
1.56,257
1.57,218
1.58,193
1.59,159
1.6,225
1.61,220
1.62,209
1.63,210
1.64,194
1.65,192
1.66,98
1.67,254
1.68,202
1.69,148
1.7,244
1.71,196
1.72,198
1.73,222
1.74,171
1.75,189
1.76,226
1.77,84
1.78,0
1.79,0
1.8,0
1.81,0
1.82,0
1.83,0
1.84,0
1.85,0
1.86,0
1.87,0
1.88,0
1.89,0
1.9,0
1.91,0
1.92,0
1.93,0
1.94,4
1.95,136
1.96,6
1.97,144
1.98,359
1.99,277
2,292
2.01,352
2.02,362
2.03,343
2.04,352
2.05,378
2.06,273
2.07,197
2.08,127
2.09,234
2.1,148
2.11,295
2.12,217
2.13,166
2.14,172
2.15,246
2.16,228
2.17,160
2.18,192
2.19,227
2.2,218
2.21,145
2.22,230
2.23,202
2.24,225
2.25,222
2.26,139
2.27,212
2.28,221
2.29,121
2.3,294
2.31,190
2.32,190
2.33,210
2.34,194
2.35,192
2.36,202
2.37,193
2.38,153
2.39,154
2.4,0
2.41,58
2.42,102
2.43,390
2.44,363
2.45,262
2.46,197
2.47,122
2.48,140
2.49,351
2.5,309
2.51,202
2.52,136
2.53,230
2.54,212
2.55,186
2.56,190
2.57,213
2.58,209
2.59,204
2.6,203
2.61,212
2.62,151
2.63,244
2.64,213
2.65,117
2.66,238
2.67,230
2.68,211
2.69,37
2.7,0
2.71,0
2.72,0
2.73,0
2.74,0
2.75,0
2.76,0
2.77,0
2.78,0
2.79,0
2.8,0
2.81,0
2.82,0
2.83,0
2.84,0
2.85,0
2.86,26
2.87,212
2.88,242
2.89,298
2.9,302
2.91,402
2.92,236
2.93,371
2.94,388
2.95,265
2.96,12
2.97,309
2.98,327
2.99,285
3,284
3.01,234
3.02,226
3.03,182
3.04,199
3.05,230
3.06,176
3.07,221
3.08,210
3.09,175
3.1,236
3.11,187
3.12,189
3.13,220
3.14,201
3.15,196
3.16,213
3.17,162
3.18,198
3.19,218
3.2,215
3.21,161
3.22,211
3.23,127
3.24,269
3.25,227
3.26,198
3.27,176
3.28,188
3.29,216
3.3,86
3.31,0
3.32,0
3.33,96
3.34,558
3.35,323
3.36,281
3.37,258
3.38,232
3.39,222
3.4,197
3.41,171
3.42,182
3.43,168
3.44,247
3.45,239
3.46,186
3.47,207
3.48,177
3.49,207
3.5,97
3.51,171
3.52,195
3.53,0
3.54,0
3.55,0
3.56,659
3.57,278
3.58,324
3.59,235
3.6,0
3.61,0
3.62,0
3.63,0
3.64,0
3.65,0
3.66,0
3.67,0
3.68,0
3.69,0
3.7,0
3.71,0
3.72,0
3.73,0
3.74,0
3.75,0
3.76,0
3.77,0
3.78,504
3.79,252
3.8,214
3.81,232
3.82,299
3.83,201
3.84,284
3.85,369
3.86,313
3.87,347
3.88,348
3.89,378
3.9,147
3.91,0
3.92,0
3.93,0
3.94,0
3.95,0
3.96,96
3.97,333
3.98,405
3.99,374
4,351
4.01,323
4.02,381
4.03,212
4.04,166
4.05,396
4.06,211
4.07,305
4.08,199
4.09,186
4.1,186
4.11,208
4.12,231
4.13,189
4.14,221
4.15,137
4.16,252
4.17,192
4.18,172
4.19,209
4.2,272
4.21,159
4.22,226
4.23,190
4.24,209
4.25,127
4.26,290
4.27,209
4.28,208
4.29,151
4.3,256
4.31,206
4.32,166
4.33,231
4.34,192
4.35,151
4.36,214
4.37,190
4.38,182
4.39,252
4.4,190
4.41,197
4.42,213
4.43,158
4.44,213
4.45,252
4.46,206
4.47,201
4.48,194
4.49,138
4.5,0
4.51,0
4.52,0
4.53,0
4.54,0
4.55,0
4.56,0
4.57,0
4.58,0
4.59,0
4.6,0
4.61,0
4.62,0
4.63,0
4.64,0
4.65,0
4.66,48
4.67,224
4.68,228
4.69,240
4.7,308
4.71,216
4.72,247
4.73,49
4.74,229
4.75,312
4.76,349
4.77,152
4.78,243
4.79,151
4.8,74
4.81,200
4.82,58
4.83,196
4.84,152
4.85,238
4.86,134
4.87,115
4.88,123
4.89,210
4.9,130
4.91,136
4.92,162
4.93,128
4.94,148
4.95,38
4.96,264
4.97,134
4.98,168
4.99,166
5,28
5.01,26
5.02,158
5.03,382
5.04,360
5.05,381
5.06,296
5.07,285
5.08,258
5.09,277
5.1,147
5.11,120
5.12,284
5.13,259
5.14,31
5.15,0
5.16,0
5.17,0
5.18,64
5.19,304
5.2,362
5.21,269
5.22,355
5.23,128
5.24,196
5.25,367
5.26,379
5.27,323
5.28,361
5.29,261
5.3,283
5.31,198
5.32,192
5.33,242
5.34,140
5.35,225
5.36,75
5.37,0
5.38,0
5.39,0
5.4,0
5.41,0
5.42,0
5.43,0
5.44,305
5.45,426
5.46,270
5.47,173
5.48,319
5.49,275
5.5,286
5.51,366
5.52,467
5.53,306
5.54,205
5.55,201
5.56,199
5.57,184
5.58,188
5.59,208
5.6,198
5.61,224
5.62,164
5.63,232
5.64,30
5.65,0
5.66,0
5.67,0
5.68,0
5.69,0
5.7,0
5.71,0
5.72,0
5.73,0
5.74,0
5.75,0
5.76,0
5.77,0
5.78,0
5.79,0
5.8,0
5.81,121
5.82,71
5.83,330
5.84,373
5.85,177
5.86,417
5.87,347
5.88,402
5.89,339
5.9,277
5.91,295
5.92,277
5.93,202
5.94,215
5.95,205
5.96,180
5.97,233
5.98,205
5.99,120
6,262
6.01,110
6.02,312
6.03,158
6.04,229
6.05,209
6.06,211
6.07,205
6.08,160
6.09,222
6.1,220
6.11,199
6.12,135
6.13,220
6.14,243
6.15,107
6.16,0
6.17,342
6.18,343
6.19,185
6.2,190
6.21,213
6.22,250
6.23,131
6.24,222
6.25,230
6.26,218
6.27,187
6.28,155
6.29,218
6.3,194
6.31,261
6.32,181
6.33,207
6.34,177
6.35,213
6.36,195
6.37,232
6.38,130
6.39,224
6.4,200
6.41,225
6.42,204
6.43,119
6.44,264
6.45,128
6.46,0
6.47,0
6.48,0
6.49,0
6.5,0
6.51,0
6.52,0
6.53,0
6.54,0
6.55,0
6.56,0
6.57,0
6.58,0
6.59,0
6.6,0
6.61,0
6.62,8
6.63,219
6.64,378
6.65,267
6.66,375
6.67,437
6.68,375
6.69,346
6.7,375
6.71,236
6.72,186
6.73,134
6.74,260
6.75,216
6.76,207
6.77,198
6.78,227
6.79,180
6.8,164
6.81,218
6.82,233
6.83,200
6.84,181
6.85,169
6.86,244
6.87,153
6.88,224
6.89,183
6.9,159
6.91,248
6.92,229
6.93,183
6.94,210
6.95,161
6.96,223
6.97,196
6.98,214
6.99,205
7,163
7.01,246
7.02,209
7.03,206
7.04,149
7.05,202
7.06,213
7.07,212
7.08,193
7.09,204
7.1,215
7.11,219
7.12,199
7.13,193
7.14,206
7.15,198
7.16,180
7.17,202
7.18,232
7.19,185
7.2,141
7.21,260
7.22,208
7.23,171
7.24,173
7.25,0
7.26,0
7.27,0
7.28,0
7.29,0
7.3,0
7.31,0
7.32,0
7.33,0
7.34,0
7.35,0
7.36,0
7.37,0
7.38,0
7.39,0
7.4,0
7.41,34
7.42,236
7.43,294
7.44,180
7.45,249
7.46,53
7.47,108
7.48,349
7.49,177
7.5,436
7.51,419
7.52,398
7.53,385
7.54,232
7.55,176
7.56,295
7.57,352
7.58,181
7.59,233
7.6,235
7.61,178
7.62,170
7.63,256
7.64,168
7.65,216
7.66,221
7.67,147
7.68,202
7.69,210
7.7,232
7.71,223
7.72,212
7.73,206
7.74,187
7.75,198
7.76,138
7.77,218
7.78,234
7.79,149
7.8,249
7.81,230
7.82,184
7.83,46
7.84,32
7.85,174
7.86,282
7.87,408
7.88,276
7.89,182
7.9,188
7.91,122
7.92,252
7.93,228
7.94,210
7.95,144
7.96,0
7.97,0
7.98,0
7.99,0
8,0
8.01,32
8.02,325
8.03,412
8.04,373
8.05,429
8.06,291
8.07,152
8.08,307
8.09,313
8.1,390
8.11,228
8.12,196
8.13,230
8.14,173
8.15,216
8.16,191
8.17,212
8.18,192
8.19,232
8.2,176
8.21,0
8.22,0
8.23,0
8.24,0
8.25,0
8.26,0
8.27,0
8.28,0
8.29,0
8.3,0
8.31,0
8.32,0
8.33,0
8.34,0
8.35,0
8.36,0
8.37,48
8.38,149
8.39,203
8.4,226
8.41,315
8.42,447
8.43,314
8.44,467
8.45,445
8.46,276
8.47,0
8.48,146
8.49,477
8.5,291
8.51,228
8.52,208
8.53,158
8.54,202
8.55,221
8.56,231
8.57,104
8.58,254
8.59,230
8.6,230
8.61,201
8.62,202
8.63,180
8.64,216
8.65,147
8.66,209
8.67,236
8.68,203
8.69,158
8.7,192
8.71,217
8.72,219
8.73,144
8.74,207
8.75,255
8.76,215
8.77,220
8.78,197
8.79,98
8.8,0
8.81,0
8.82,160
8.83,269
8.84,479
8.85,352
8.86,212
8.87,164
8.88,220
8.89,210
8.9,212
8.91,160
8.92,232
8.93,225
8.94,214
8.95,161
8.96,227
8.97,203
8.98,224
8.99,210
9,209
9.01,192
9.02,191
9.03,165
9.04,11
9.05,0
9.06,0
9.07,0
9.08,0
9.09,0
9.1,0
9.11,0
9.12,0
9.13,0
9.14,0
9.15,0
9.16,0
9.17,0
9.18,0
9.19,0
9.2,30
9.21,364
9.22,302
9.23,349
9.24,418
9.25,241
9.26,134
9.27,322
9.28,188
9.29,236
9.3,224
9.31,404
9.32,204
9.33,153
9.34,371
9.35,196
9.36,188
9.37,127
