"Interval start","All packets"
0,1
0.01,0
0.02,0
0.03,0
0.04,0
0.05,1
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,65
1.01,81
1.02,84
1.03,70
1.04,79
1.05,83
1.06,90
1.07,105
1.08,115
1.09,126
1.1,188
1.11,179
1.12,191
1.13,190
1.14,182
1.15,193
1.16,194
1.17,187
1.18,195
1.19,202
1.2,184
1.21,201
1.22,199
1.23,204
1.24,188
1.25,189
1.26,186
1.27,188
1.28,191
1.29,78
1.3,131
1.31,196
1.32,105
1.33,46
1.34,152
1.35,122
1.36,103
1.37,195
1.38,200
1.39,199
1.4,189
1.41,186
1.42,192
1.43,194
1.44,191
1.45,196
1.46,193
1.47,107
1.48,110
1.49,196
1.5,195
1.51,192
1.52,192
1.53,201
1.54,186
1.55,193
1.56,197
1.57,187
1.58,184
1.59,189
1.6,181
1.61,95
1.62,229
1.63,199
1.64,223
1.65,62
1.66,61
1.67,69
1.68,210
1.69,213
1.7,219
1.71,227
1.72,228
1.73,124
1.74,46
1.75,53
1.76,69
1.77,61
1.78,80
1.79,56
1.8,40
1.81,72
1.82,54
1.83,54
1.84,31
1.85,59
1.86,56
1.87,73
1.88,67
1.89,73
1.9,68
1.91,55
1.92,69
1.93,73
1.94,206
1.95,193
1.96,150
1.97,47
1.98,118
1.99,219
2,214
2.01,115
2.02,185
2.03,185
2.04,144
2.05,150
2.06,158
2.07,164
2.08,177
2.09,177
2.1,184
2.11,175
2.12,167
2.13,165
2.14,168
2.15,175
2.16,165
2.17,159
2.18,169
2.19,173
2.2,185
2.21,180
2.22,166
2.23,167
2.24,174
2.25,162
2.26,177
2.27,174
2.28,179
2.29,180
2.3,183
2.31,174
2.32,175
2.33,143
2.34,150
2.35,148
2.36,171
2.37,159
2.38,155
2.39,122
2.4,73
2.41,66
2.42,23
2.43,146
2.44,169
2.45,171
2.46,219
2.47,196
2.48,70
2.49,94
2.5,210
