"Interval start","All packets"
0,2
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,1
1.06,0
1.07,0
1.08,2
1.09,1
1.1,1
1.11,2
1.12,1
1.13,1
1.14,2
1.15,2
1.16,0
1.17,2
1.18,2
1.19,0
1.2,2
1.21,0
1.22,2
1.23,2
1.24,0
1.25,0
1.26,2
1.27,1
1.28,1
1.29,0
1.3,1
1.31,1
1.32,1
1.33,0
1.34,2
1.35,1
1.36,1
1.37,1
1.38,2
1.39,0
1.4,2
1.41,0
1.42,2
1.43,1
1.44,1
1.45,0
1.46,2
1.47,2
1.48,1
1.49,3
1.5,0
1.51,2
1.52,2
1.53,1
1.54,3
1.55,2
1.56,1
1.57,1
1.58,2
1.59,1
1.6,2
1.61,2
1.62,1
1.63,1
1.64,1
1.65,1
1.66,3
1.67,1
1.68,1
1.69,1
1.7,1
1.71,3
1.72,1
1.73,2
1.74,1
1.75,3
1.76,1
1.77,1
1.78,1
1.79,1
1.8,1
1.81,2
1.82,1
1.83,2
1.84,1
1.85,1
1.86,1
1.87,2
1.88,2
1.89,1
1.9,1
1.91,1
1.92,0
1.93,0
1.94,0
1.95,0
1.96,0
1.97,0
1.98,1
1.99,1
2,1
2.01,0
2.02,0
2.03,1
2.04,1
2.05,1
2.06,1
2.07,1
2.08,0
2.09,0
2.1,1
2.11,1
2.12,2
2.13,1
2.14,1
2.15,1
2.16,1
2.17,1
2.18,2
2.19,1
2.2,1
2.21,3
2.22,3
2.23,0
2.24,1
2.25,0
2.26,1
2.27,1
2.28,1
2.29,1
2.3,0
2.31,2
2.32,2
2.33,1
2.34,2
2.35,2
2.36,1
2.37,2
2.38,1
2.39,1
2.4,1
2.41,1
2.42,0
2.43,1
2.44,1
2.45,0
2.46,1
2.47,0
2.48,1
2.49,1
2.5,0
2.51,1
2.52,0
2.53,0
2.54,1
2.55,1
2.56,1
2.57,0
2.58,1
2.59,0
2.6,0
2.61,0
2.62,1
2.63,1
2.64,1
2.65,0
2.66,2
2.67,1
2.68,1
2.69,1
2.7,2
2.71,4
2.72,2
2.73,2
2.74,1
2.75,1
2.76,2
2.77,0
2.78,3
2.79,1
2.8,2
2.81,2
2.82,3
2.83,2
2.84,1
2.85,1
2.86,3
2.87,2
2.88,1
2.89,1
2.9,3
2.91,3
2.92,2
2.93,2
2.94,1
2.95,1
2.96,1
2.97,0
2.98,1
2.99,1
3,1
3.01,2
3.02,1
3.03,0
3.04,0
3.05,0
3.06,1
3.07,0
3.08,2
3.09,1
3.1,1
3.11,1
3.12,1
3.13,2
3.14,0
3.15,1
3.16,1
3.17,1
3.18,1
3.19,2
3.2,2
3.21,1
3.22,2
3.23,2
3.24,0
3.25,1
3.26,1
3.27,1
3.28,6
3.29,27
3.3,1
3.31,1
3.32,0
3.33,1
3.34,1
3.35,0
3.36,1
3.37,1
3.38,0
3.39,2
3.4,0
3.41,1
3.42,1
3.43,1
3.44,0
3.45,1
3.46,1
3.47,0
3.48,1
3.49,1
3.5,1
3.51,18
3.52,21
3.53,14
3.54,4
3.55,2
3.56,2
3.57,2
3.58,0
3.59,3
3.6,1
3.61,2
3.62,2
3.63,1
3.64,2
3.65,0
3.66,0
3.67,1
3.68,0
3.69,1
3.7,1
3.71,1
3.72,1
3.73,1
3.74,1
3.75,0
3.76,1
3.77,3
3.78,1
3.79,1
3.8,0
3.81,2
3.82,1
3.83,1
3.84,2
3.85,1
3.86,2
3.87,1
3.88,1
3.89,2
3.9,3
3.91,5
3.92,2
3.93,2
3.94,1
3.95,1
3.96,0
3.97,0
3.98,3
3.99,4
4,3
4.01,2
4.02,3
4.03,1
4.04,1
4.05,4
4.06,3
4.07,1
4.08,1
4.09,2
4.1,1
4.11,1
4.12,1
4.13,1
4.14,3
4.15,1
4.16,2
4.17,0
4.18,0
4.19,1
4.2,0
4.21,1
4.22,1
4.23,0
4.24,1
4.25,1
4.26,2
4.27,1
4.28,1
4.29,2
4.3,1
4.31,0
4.32,1
4.33,1
4.34,1
4.35,1
4.36,1
4.37,2
4.38,1
4.39,2
4.4,2
4.41,2
4.42,1
4.43,1
4.44,3
4.45,2
4.46,2
4.47,3
4.48,1
4.49,1
4.5,2
4.51,4
4.52,1
4.53,4
4.54,2
4.55,3
4.56,1
4.57,2
4.58,2
4.59,1
4.6,3
4.61,2
4.62,3
4.63,1
4.64,1
4.65,3
4.66,1
4.67,2
4.68,0
4.69,0
4.7,0
4.71,0
4.72,0
4.73,1
4.74,1
4.75,0
4.76,2
4.77,1
4.78,1
4.79,1
4.8,1
4.81,1
4.82,2
4.83,2
4.84,1
4.85,2
4.86,1
4.87,1
4.88,2
4.89,1
4.9,1
4.91,2
4.92,1
4.93,2
4.94,2
4.95,2
4.96,2
4.97,2
4.98,3
4.99,1
5,2
5.01,0
5.02,0
5.03,4
5.04,3
5.05,1
5.06,3
5.07,1
5.08,2
5.09,2
5.1,2
5.11,2
5.12,2
5.13,2
5.14,1
5.15,2
5.16,1
5.17,1
5.18,2
5.19,2
5.2,2
5.21,1
5.22,0
5.23,2
5.24,2
5.25,1
5.26,1
5.27,1
5.28,1
5.29,1
5.3,2
5.31,1
5.32,1
5.33,2
5.34,2
5.35,0
5.36,0
5.37,1
5.38,2
5.39,1
5.4,0
5.41,4
5.42,2
5.43,1
5.44,2
5.45,2
5.46,2
5.47,1
5.48,0
5.49,0
5.5,0
5.51,0
5.52,0
5.53,0
5.54,0
5.55,0
5.56,0
5.57,0
5.58,0
5.59,0
5.6,1
5.61,0
5.62,0
5.63,1
5.64,1
5.65,1
5.66,1
5.67,1
5.68,1
5.69,2
5.7,1
5.71,1
5.72,2
5.73,1
5.74,3
5.75,0
5.76,1
5.77,1
5.78,1
5.79,0
5.8,0
5.81,0
5.82,0
5.83,0
5.84,0
5.85,0
5.86,0
5.87,0
5.88,0
5.89,1
5.9,0
5.91,0
5.92,0
5.93,0
5.94,0
5.95,1
5.96,0
5.97,1
5.98,0
5.99,0
6,0
6.01,0
6.02,0
6.03,0
6.04,0
6.05,0
6.06,0
6.07,0
6.08,0
6.09,0
6.1,0
6.11,0
6.12,1
6.13,0
6.14,1
6.15,0
6.16,1
6.17,1
6.18,1
6.19,1
6.2,1
6.21,1
6.22,1
6.23,1
6.24,2
6.25,1
6.26,0
6.27,0
6.28,1
6.29,0
6.3,0
6.31,0
6.32,0
6.33,1
6.34,0
6.35,1
6.36,1
6.37,1
6.38,0
6.39,2
6.4,0
6.41,0
6.42,1
6.43,0
6.44,0
6.45,0
6.46,1
6.47,0
6.48,1
6.49,1
6.5,0
6.51,1
6.52,1
6.53,0
6.54,0
6.55,0
6.56,0
6.57,0
6.58,0
6.59,0
6.6,0
6.61,0
6.62,0
6.63,0
6.64,1
6.65,0
6.66,1
6.67,1
6.68,0
6.69,1
6.7,1
6.71,1
6.72,1
6.73,1
6.74,2
6.75,2
6.76,1
6.77,2
6.78,2
6.79,0
6.8,3
6.81,1
6.82,2
6.83,1
6.84,1
6.85,2
6.86,2
6.87,0
6.88,0
6.89,2
6.9,2
6.91,1
6.92,0
6.93,0
6.94,1
6.95,1
6.96,0
6.97,1
6.98,1
6.99,1
7,2
7.01,1
7.02,1
7.03,2
7.04,1
7.05,1
7.06,2
7.07,1
7.08,2
7.09,2
7.1,2
7.11,3
7.12,2
7.13,2
7.14,2
7.15,1
7.16,1
7.17,1
7.18,2
7.19,2
7.2,1
7.21,1
7.22,1
7.23,1
7.24,0
7.25,4
7.26,2
7.27,1
7.28,2
7.29,1
7.3,0
7.31,2
7.32,1
7.33,1
7.34,0
7.35,1
7.36,2
7.37,0
7.38,2
7.39,1
7.4,1
7.41,0
7.42,0
7.43,0
7.44,0
7.45,0
7.46,0
7.47,1
7.48,0
7.49,1
7.5,0
7.51,0
7.52,0
7.53,0
7.54,0
7.55,0
7.56,0
7.57,0
7.58,0
7.59,0
7.6,1
7.61,0
7.62,1
7.63,0
7.64,1
7.65,1
7.66,1
7.67,1
7.68,1
7.69,2
7.7,1
7.71,2
7.72,1
7.73,1
7.74,1
7.75,1
7.76,2
7.77,5
7.78,3
7.79,4
7.8,3
7.81,4
7.82,6
7.83,2
7.84,2
7.85,3
7.86,1
7.87,2
7.88,2
7.89,1
7.9,1
7.91,1
7.92,1
7.93,1
7.94,1
7.95,1
7.96,1
7.97,1
7.98,1
7.99,0
8,2
8.01,1
8.02,1
8.03,2
8.04,2
8.05,1
8.06,1
8.07,0
8.08,1
8.09,1
8.1,0
8.11,1
8.12,1
8.13,0
8.14,1
8.15,0
8.16,1
8.17,0
8.18,1
8.19,0
8.2,1
8.21,1
8.22,0
8.23,1
8.24,0
8.25,0
8.26,1
8.27,1
8.28,0
8.29,1
8.3,1
8.31,0
8.32,1
8.33,1
8.34,0
8.35,1
8.36,1
8.37,0
8.38,1
8.39,0
8.4,1
8.41,1
8.42,1
8.43,0
8.44,2
8.45,1
8.46,3
8.47,1
8.48,1
8.49,1
8.5,1
8.51,1
8.52,0
8.53,1
8.54,1
8.55,1
8.56,0
8.57,1
8.58,1
8.59,0
8.6,1
8.61,1
8.62,1
8.63,0
8.64,1
8.65,1
8.66,0
8.67,1
8.68,1
8.69,0
8.7,1
8.71,0
8.72,0
8.73,0
8.74,0
8.75,0
8.76,0
8.77,0
8.78,0
8.79,1
8.8,1
8.81,0
8.82,1
8.83,1
8.84,0
8.85,1
8.86,1
8.87,0
8.88,1
8.89,1
8.9,0
8.91,1
8.92,1
8.93,0
8.94,1
8.95,1
8.96,0
8.97,1
8.98,0
8.99,1
9,1
9.01,0
9.02,1
9.03,1
9.04,0
9.05,2
9.06,1
9.07,0
9.08,1
9.09,3
9.1,1
9.11,0
9.12,2
9.13,1
9.14,0
9.15,1
9.16,1
9.17,0
9.18,1
9.19,1
9.2,0
9.21,1
9.22,0
9.23,1
9.24,0
9.25,1
9.26,1
9.27,0
9.28,1
9.29,0
9.3,0
9.31,0
9.32,1
9.33,0
9.34,1
9.35,0
9.36,1
9.37,1
